Wind and Thunder,Windripper,16.09,55.59,39.5
Lost in the Pages,Astramentis,11.9,50.0,38.1
The Hollow Pledge,Pledge of Hands,1.0,10.0,9.0
The Lost Undying,Winds of Change,1.0,7.11,6.11
Cleanser of Sins,Tabula Rasa,30.0,35.0,5.0
Abnormal Effulgence,Singularity,0.66,4.0,3.34
The Flayed Man,Bino's Kitchen Knife,0.64,3.0,2.36
The Last Watch,Drillneck,1.0,3.0,2.0
Weeping Death,Rainbowstride,1.0,3.0,2.0
A Prodigious Hand,Maligaro's Virtuosity,1.05,3.0,1.95
Flesh of the Beast,Belly of the Beast,3.53,4.6,1.0699999999999998
The Nest,Rat's Nest,0.97,2.0,1.03
Blood of the Betrayed,Hezmana's Bloodlust,0.81,1.0,0.18999999999999995
The Walking Mountain,Clayshaper,0.84,1.0,0.16000000000000003
The Brutal Enforcer,Facebreaker,0.94,1.0,0.06000000000000005
Custodians of Silence,Tear of Purity,0.62,0.64,0.020000000000000018
Blood in the Eyes,The Bringer of Rain,1.0,1.0,0.0
The Soulless Beast,Atziri's Foible,1.0,1.0,0.0
The Eagle's Cry,The Screaming Eagle,0.41,0.32,-0.08999999999999997
Graceful Flames,Goldrim,1.09,1.0,-0.09000000000000008
A Firm Foothold,Wanderlust,0.44,0.34,-0.09999999999999998
From Death Springs Life,Lifesprig,0.45,0.32,-0.13
The Vanguard,Death's Harp,0.63,0.32,-0.31
Notched Flesh,Infractem,0.71,0.32,-0.38999999999999996
Strong as a Bull,Meginord's Girdle,0.77,0.32,-0.45
The Petrified,Twyzel,0.79,0.32,-0.47000000000000003
The Sinner's Stone,Stone of Lazhwar,0.84,0.32,-0.52
The Watcher's Watcher,Eye of Chayula,1.56,1.0,-0.56
Heart of the Fire,Sire of Shards,0.93,0.32,-0.6100000000000001
Storm on the Reef,Moonbender's Wing,1.0,0.32,-0.6799999999999999
The Lady in Black,Reverberation Rod,1.0,0.32,-0.6799999999999999
The Prison Guard,Storm Prison,1.0,0.32,-0.6799999999999999
The Prison Key,Axiom Perpetuum,1.0,0.32,-0.6799999999999999
The Ward's Ward,Karui Ward,1.0,0.32,-0.6799999999999999
Baptism by Death,Geofri's Baptism,1.18,0.32,-0.8599999999999999
Storm on the Horizon,Storm Cloud,1.29,0.32,-0.97
Roth's Legacy,Roth's Reach,1.41,0.32,-1.0899999999999999
Against the Tide,Roth's Reach,1.62,0.32,-1.3
The Sword King's Passion,Daresso's Passion,1.85,0.32,-1.53
A Call into the Void,Voltaxic Rift,2.85,1.0,-1.85
A Whispered Prayer,The Whispering Ice,2.19,0.32,-1.8699999999999999
Fear's Wide Reach,Wideswing,3.02,0.32,-2.7
